"","SA","x","y"
"1","LM",5546.995,-6664.289
"2","LM",5546.995,-6664.289
"3","LM",5548.14,-6664.849
"4","LM",5551.53,-6666.464
"5","LM",5557.097,-6669.041
"6","LM",5564.774,-6672.483
"7","LM",5574.494,-6676.695
"8","LM",5586.188,-6681.583
"9","LM",5599.789,-6687.051
"10","LM",5615.23,-6693.004
"11","LM",5632.443,-6699.347
"12","LM",5651.361,-6705.985
"13","LM",5671.915,-6712.822
"14","LM",5694.039,-6719.765
"15","LM",5717.665,-6726.716
"16","LM",5742.726,-6733.582
"17","LM",5769.153,-6740.268
"18","LM",5796.88,-6746.677
"19","LM",5825.839,-6752.715
"20","LM",5855.961,-6758.287
"21","LM",5887.181,-6763.298
"22","LM",5919.43,-6767.652
"23","LM",5952.64,-6771.255
"24","LM",5986.744,-6774.011
"25","LM",6021.675,-6775.825
"26","LM",6057.365,-6776.602
"27","LM",6093.746,-6776.247
"28","LM",6130.752,-6774.665
"29","LM",6168.313,-6771.76
"30","LM",6206.364,-6767.438
"31","LM",6244.836,-6761.604
"32","LM",6244.836,-6761.604
"33","LM",6287.278,-6754.399
"34","LM",6331.389,-6747.032
"35","LM",6376.965,-6739.524
"36","LM",6423.804,-6731.898
"37","LM",6471.704,-6724.175
"38","LM",6520.464,-6716.378
"39","LM",6569.88,-6708.529
"40","LM",6619.749,-6700.65
"41","LM",6669.871,-6692.763
"42","LM",6720.043,-6684.89
"43","LM",6770.061,-6677.053
"44","LM",6819.725,-6669.274
"45","LM",6868.831,-6661.575
"46","LM",6917.178,-6653.979
"47","LM",6964.562,-6646.507
"48","LM",7010.783,-6639.182
"49","LM",7055.637,-6632.026
"50","LM",7098.922,-6625.06
"51","LM",7140.436,-6618.307
"52","LM",7179.976,-6611.788
"53","LM",7217.341,-6605.527
"54","LM",7252.328,-6599.545
"55","LM",7284.734,-6593.863
"56","LM",7314.358,-6588.505
"57","LM",7340.996,-6583.493
"58","LM",7364.448,-6578.847
"59","LM",7384.51,-6574.591
"60","LM",7400.98,-6570.747
"61","LM",7413.656,-6567.336
"62","LM",7413.656,-6567.336
"63","LM",7473.854,-6549.201
"64","LM",7532.141,-6531.199
"65","LM",7588.517,-6513.354
"66","LM",7642.981,-6495.686
"67","LM",7695.533,-6478.22
"68","LM",7746.172,-6460.978
"69","LM",7794.899,-6443.981
"70","LM",7841.713,-6427.254
"71","LM",7886.612,-6410.818
"72","LM",7929.598,-6394.697
"73","LM",7970.669,-6378.912
"74","LM",8009.826,-6363.487
"75","LM",8047.067,-6348.444
"76","LM",8082.393,-6333.805
"77","LM",8115.803,-6319.594
"78","LM",8147.296,-6305.832
"79","LM",8176.873,-6292.544
"80","LM",8204.533,-6279.75
"81","LM",8230.275,-6267.474
"82","LM",8254.099,-6255.739
"83","LM",8276.005,-6244.567
"84","LM",8295.992,-6233.98
"85","LM",8314.06,-6224.002
"86","LM",8330.209,-6214.654
"87","LM",8344.438,-6205.96
"88","LM",8356.747,-6197.943
"89","LM",8367.135,-6190.624
"90","LM",8375.603,-6184.026
"91","LM",8382.149,-6178.173
"92","LM",8382.149,-6178.173
"93","LM",8381.572,-6173.978
"94","LM",8381.014,-6169.946
"95","LM",8380.474,-6166.076
"96","LM",8379.952,-6162.368
"97","LM",8379.45,-6158.819
"98","LM",8378.966,-6155.429
"99","LM",8378.502,-6152.196
"100","LM",8378.056,-6149.12
"101","LM",8377.63,-6146.199
"102","LM",8377.223,-6143.432
"103","LM",8376.836,-6140.817
"104","LM",8376.469,-6138.354
"105","LM",8376.121,-6136.042
"106","LM",8375.794,-6133.879
"107","LM",8375.486,-6131.864
"108","LM",8375.199,-6129.996
"109","LM",8374.932,-6128.273
"110","LM",8374.686,-6126.695
"111","LM",8374.461,-6125.261
"112","LM",8374.256,-6123.968
"113","LM",8374.072,-6122.817
"114","LM",8373.91,-6121.806
"115","LM",8373.768,-6120.933
"116","LM",8373.648,-6120.198
"117","LM",8373.55,-6119.599
"118","LM",8373.473,-6119.135
"119","LM",8373.418,-6118.805
"120","LM",8373.385,-6118.608
"121","LM",8373.373,-6118.543
