"","SA","x","y"
"1","LM",5528.19,-6662.073
"2","LM",5528.19,-6662.073
"3","LM",5528.803,-6662.542
"4","LM",5530.646,-6663.896
"5","LM",5533.731,-6666.052
"6","LM",5538.07,-6668.928
"7","LM",5543.671,-6672.442
"8","LM",5550.547,-6676.511
"9","LM",5558.708,-6681.053
"10","LM",5568.164,-6685.986
"11","LM",5578.927,-6691.228
"12","LM",5591.006,-6696.696
"13","LM",5604.414,-6702.309
"14","LM",5619.16,-6707.983
"15","LM",5635.255,-6713.638
"16","LM",5652.71,-6719.19
"17","LM",5671.536,-6724.557
"18","LM",5691.743,-6729.657
"19","LM",5713.342,-6734.409
"20","LM",5736.343,-6738.729
"21","LM",5760.759,-6742.535
"22","LM",5786.598,-6745.745
"23","LM",5813.873,-6748.278
"24","LM",5842.593,-6750.05
"25","LM",5872.769,-6750.98
"26","LM",5904.413,-6750.985
"27","LM",5937.534,-6749.983
"28","LM",5972.144,-6747.892
"29","LM",6008.253,-6744.63
"30","LM",6045.872,-6740.114
"31","LM",6085.011,-6734.262
"32","LM",6085.011,-6734.262
"33","LM",6106.183,-6730.848
"34","LM",6127.841,-6727.481
"35","LM",6149.962,-6724.17
"36","LM",6172.526,-6720.924
"37","LM",6195.512,-6717.753
"38","LM",6218.898,-6714.667
"39","LM",6242.662,-6711.676
"40","LM",6266.783,-6708.788
"41","LM",6291.241,-6706.015
"42","LM",6316.012,-6703.365
"43","LM",6341.076,-6700.849
"44","LM",6366.412,-6698.476
"45","LM",6391.998,-6696.256
"46","LM",6417.813,-6694.198
"47","LM",6443.835,-6692.312
"48","LM",6470.043,-6690.609
"49","LM",6496.415,-6689.097
"50","LM",6522.93,-6687.786
"51","LM",6549.567,-6686.687
"52","LM",6576.305,-6685.808
"53","LM",6603.121,-6685.16
"54","LM",6629.994,-6684.752
"55","LM",6656.903,-6684.594
"56","LM",6683.828,-6684.695
"57","LM",6710.745,-6685.066
"58","LM",6737.634,-6685.716
"59","LM",6764.473,-6686.655
"60","LM",6791.241,-6687.892
"61","LM",6817.917,-6689.438
"62","LM",6817.917,-6689.438
"63","LM",6838.681,-6690.496
"64","LM",6860.328,-6691.083
"65","LM",6882.794,-6691.217
"66","LM",6906.019,-6690.913
"67","LM",6929.939,-6690.189
"68","LM",6954.491,-6689.061
"69","LM",6979.615,-6687.546
"70","LM",7005.246,-6685.661
"71","LM",7031.323,-6683.421
"72","LM",7057.784,-6680.844
"73","LM",7084.566,-6677.946
"74","LM",7111.607,-6674.745
"75","LM",7138.844,-6671.255
"76","LM",7166.215,-6667.496
"77","LM",7193.657,-6663.482
"78","LM",7221.109,-6659.23
"79","LM",7248.507,-6654.758
"80","LM",7275.79,-6650.081
"81","LM",7302.895,-6645.217
"82","LM",7329.759,-6640.182
"83","LM",7356.321,-6634.993
"84","LM",7382.518,-6629.666
"85","LM",7408.287,-6624.218
"86","LM",7433.566,-6618.666
"87","LM",7458.293,-6613.026
"88","LM",7482.406,-6607.315
"89","LM",7505.841,-6601.549
"90","LM",7528.537,-6595.746
"91","LM",7550.432,-6589.921
"92","LM",7550.432,-6589.921
"93","LM",7586.094,-6579.956
"94","LM",7620.524,-6569.781
"95","LM",7653.825,-6559.399
"96","LM",7686.1,-6548.813
"97","LM",7717.453,-6538.029
"98","LM",7747.987,-6527.049
"99","LM",7777.805,-6515.877
"100","LM",7807.011,-6504.517
"101","LM",7835.707,-6492.973
"102","LM",7863.998,-6481.248
"103","LM",7891.987,-6469.346
"104","LM",7919.776,-6457.271
"105","LM",7947.47,-6445.027
"106","LM",7975.171,-6432.617
"107","LM",8002.983,-6420.045
"108","LM",8031.009,-6407.315
"109","LM",8059.353,-6394.431
"110","LM",8088.118,-6381.396
"111","LM",8117.406,-6368.214
"112","LM",8147.322,-6354.889
"113","LM",8177.969,-6341.424
"114","LM",8209.45,-6327.823
"115","LM",8241.868,-6314.091
"116","LM",8275.327,-6300.23
"117","LM",8309.93,-6286.244
"118","LM",8345.78,-6272.138
"119","LM",8382.981,-6257.915
"120","LM",8421.636,-6243.578
"121","LM",8461.848,-6229.132
"122","LM",8461.848,-6229.132
"123","LM",8461.242,-6224.911
"124","LM",8460.647,-6220.806
"125","LM",8460.064,-6216.82
"126","LM",8459.495,-6212.954
"127","LM",8458.94,-6209.212
"128","LM",8458.4,-6205.595
"129","LM",8457.875,-6202.106
"130","LM",8457.366,-6198.747
"131","LM",8456.874,-6195.52
"132","LM",8456.399,-6192.428
"133","LM",8455.943,-6189.473
"134","LM",8455.505,-6186.657
"135","LM",8455.086,-6183.984
"136","LM",8454.688,-6181.454
"137","LM",8454.31,-6179.07
"138","LM",8453.954,-6176.836
"139","LM",8453.62,-6174.752
"140","LM",8453.309,-6172.822
"141","LM",8453.021,-6171.047
"142","LM",8452.758,-6169.43
"143","LM",8452.519,-6167.974
"144","LM",8452.306,-6166.68
"145","LM",8452.119,-6165.551
"146","LM",8451.959,-6164.59
"147","LM",8451.827,-6163.798
"148","LM",8451.722,-6163.178
"149","LM",8451.647,-6162.732
"150","LM",8451.602,-6162.463
"151","LM",8451.586,-6162.373
"152","LM",8451.586,-6162.373
"153","LM",8450.286,-6161.037
"154","LM",8444.118,-6162.73
"155","LM",8433.249,-6167.258
"156","LM",8417.846,-6174.423
"157","LM",8398.074,-6184.03
"158","LM",8374.1,-6195.882
"159","LM",8346.091,-6209.784
"160","LM",8314.212,-6225.539
"161","LM",8278.63,-6242.951
"162","LM",8239.511,-6261.824
"163","LM",8197.022,-6281.962
"164","LM",8151.328,-6303.169
"165","LM",8102.597,-6325.25
"166","LM",8050.994,-6348.006
"167","LM",7996.685,-6371.244
"168","LM",7939.838,-6394.766
"169","LM",7880.618,-6418.377
"170","LM",7819.191,-6441.88
"171","LM",7755.724,-6465.079
"172","LM",7690.384,-6487.779
"173","LM",7623.336,-6509.782
"174","LM",7554.747,-6530.894
"175","LM",7484.783,-6550.918
"176","LM",7413.61,-6569.657
"177","LM",7341.395,-6586.917
"178","LM",7268.304,-6602.5
"179","LM",7194.503,-6616.211
"180","LM",7120.159,-6627.853
"181","LM",7045.438,-6637.231
"182","LM",7045.438,-6637.231
"183","LM",7028.976,-6638.74
"184","LM",7011.645,-6639.796
"185","LM",6993.469,-6640.444
"186","LM",6974.469,-6640.728
"187","LM",6954.669,-6640.692
"188","LM",6934.09,-6640.382
"189","LM",6912.756,-6639.841
"190","LM",6890.689,-6639.115
"191","LM",6867.911,-6638.247
"192","LM",6844.445,-6637.283
"193","LM",6820.314,-6636.267
"194","LM",6795.539,-6635.244
"195","LM",6770.145,-6634.258
"196","LM",6744.152,-6633.353
"197","LM",6717.584,-6632.575
"198","LM",6690.464,-6631.968
"199","LM",6662.813,-6631.576
"200","LM",6634.654,-6631.444
"201","LM",6606.011,-6631.616
"202","LM",6576.904,-6632.138
"203","LM",6547.358,-6633.054
"204","LM",6517.394,-6634.408
"205","LM",6487.036,-6636.244
"206","LM",6456.304,-6638.608
